titles,text,clean_text,summarized_text
Мифы о психологии и психологах,"
Всего каких-то десять лет назад профессия психолога у нас в стране считалась одной из самых экзотичных, а сама психология как наука казалась неким таинственным знанием, сродни религиозному. И если в западных странах иметь личного психолога и посещать его с такой же регулярностью, как, например, стоматолога или парикмахера, считается обычным делом, то у нас это могут себе позволить далеко не все. И дело здесь не только в ограниченных финансовых возможностях большинства наших граждан (консультация у психолога стоит не дороже приема у платного врача). Просто сказанные про кого-либо такие слова ""консультировался у психотерапевта"", имеют в сознании наших граждан пугающе негативную окраску. В западной же культуре это могло бы означать, что у человека несколько дней было плохое настроение и ему нужно было облегчить душу. Или человек пережил какое-либо потрясение, например, утрату близкого человека, и ему легче перенести потрясение, чувствуя поддержку психолога. Если ""болит"" душа, если все валится из рук, если тяжело выйти из подавленного состояния, если потерян смысл жизни и при многих других ""если"" на Западе принято обращаться к психологу-консультанту.
Давайте рассмотрим несколько мифов, сложившихся в нашем сознании по поводу психологической помощи.
Зачем идти к психологу, ведь можно просто излить душу другу?
Так думают многие. Да, друг, конечно, выслушает и поддержит. И вам очень повезло, если у вас есть тот, кого бы вы назвали настоящим другом. Но другу трудно быть с вами объективным, - вы же друзья. Психолог же нейтрален по отношению к вам, ему легко смотреть на ситуацию со стороны. Во-вторых, профессионал обладает более широким кругозором в области человеческого поведения, научными и практическими знаниями о закономерностях возникновения, проявления и формах протекания проблемных ситуаций, возможных способах коррекции. Все это позволяет ему лучше понять вашу ситуацию и наметить пути выхода из проблемы.
Психология - это то, что позволяет одному человеку видеть другого насквозь, а это не всегда приятно
Здесь необходимо сказать, что о многих вещах, на которые в данной культуре наложено табу, психология говорит как о реально существующих явлениях и фактах человеческой психики. И психолога тяжело разочаровать или удивить какими-либо подавляемыми в данной культуре или сообществе проявлениями человеческой души.
Психолог представляет всю сложность человеческого существа и понимает, что нельзя судить о море, ориентируясь только на то, что происходит на его поверхности. Подводный мир может многое рассказать о жизни моря. И глубина - это постоянный предмет профессиональной деятельности психолога. Психологи используют свои знания для более точного познания законов человеческого бытия, а вовсе не для разоблачения каких-то тщательно замаскированных черт.
Психологи иногда ассоциируются с магами и колдунами
Если вы ждете, что вашу жизнь кто-то может изменить без вашего участия, путем заключения договора с некими могущественными силами, то вы ошибаетесь. Измени себя, и ты увидишь, как изменился мир. Задача психолога - помочь вам построить свою жизнь по-новому. Но строить ее вы будете сами. И психолог может показать вам, куда идти, но идти придется вам.
Мифы о психологии и психологахУстановка ""вот я пришел, сделайте так, чтобы все было хорошо"", здесь не срабатывает. В результате психотерапевтического процесса могут происходить непосредственные изменения только на уровне психической реальности клиента. То есть меняется субъективное восприятие событий внешнего мира, но не сам мир, его физическое и событийное содержание. Изменения же во внешней реальности человека, включенного в психотерапевтический процесс, всегда есть опосредованный результат изменений происходящих на внутреннем, психическом плане бытия. В самом упрощенном виде это выглядит как причинная связь ""стимул - реакция"". Меняется субъективное восприятие людей и событий - меняется и отношение к ним. Меняется поведение человека - меняется реакция окружающих на это его поведение. Оккультизм же во всех своих многообразных проявлениях указанные условия-самоограничения отрицает. Колдуны и экстрасенсы, как правило, наоборот, делают в своей практике акцент на том, что жизнь и судьбу человека могут изменить либо они сами, либо действующие через их посредство некие ""высшие силы"". Причем, согласие самого человека на такое изменение для этого вовсе не обязательно. Главной задачей психотерапевта является максимальное расширение свободы выбора человека, возможности руководствоваться в жизни дарованной от Бога свободой воли. Задача же оккультиста - прямо противоположна. Максимально ограничить свободу воли человека, а при возможности и вовсе лишить его таковой. Тем самым они получают возможность манипулировать людьми в своих целях. Это и есть суть любого зомбирования вне зависимости от того, какими конкретно средствами оно проводится.
Психология - это нечто абстрактное, непонятное, искусственно созданное и занимающееся тем, что и так давно известно
Так, вероятно, думают те, у кого давно есть готовые ответы на любые жизненные вопросы. Но все ясно и давно известно может быть только от отсутствия знаний. Любой образованный человек знает, что, изучая какую-либо науку, какую-либо сферу жизни, познавая ее закономерности, мы каждый раз убеждаемся, что ""все не так сложно, как мы думаем, - все намного сложнее"". И нельзя понять этот мир и других людей в нем, пытаясь втиснуть индивидуальный, неповторимый и динамичный мир каждого человека в свою схему мировоззрения. И когда мудрый Сократ говорил: ""Я знаю лишь то, что ничего не знаю"", - он не лукавил. А .Камю как-то сказал: ""Человек мыслящий занимается обычно тем, что старается сообразовать свое представление о вещах с новыми фактами, которые его опровергают. В этом-то сдвиге, в этой-то изменчивости мыслей, в этой сознательной поправке и заключается истина, то есть урок, преподаваемый жизнью"".
Некоторых людей пугает приставка «пси» в слове «психология»
Представление об этой науке в их сознании тесно переплетено со словами ""псих"", ""психушка"", ""психиатрия"". Мнение, что психология имеет дело только с психическими отклонениями, что ее цель - обнаружить таковые у всех, кто обращается за помощью, очень живуче. В переводе с греческого ""психе"" означает ""душа"". Психология, т.е. наука о душе существует для самопознания. Лишь разобравшись в своей душе, можно понять всю сложность, все своеобразие и уникальность других людей и принять их.
",какихто профессия психолога стране считалась самых экзотичных психология наука казалась неким таинственным знанием сродни религиозному западных странах личного психолога посещать регулярностью например стоматолога парикмахера считается обычным делом позволить дело ограниченных финансовых возможностях большинства наших граждан консультация психолога стоит дороже приема платного врача сказанные коголибо слова консультировался психотерапевта имеют сознании наших граждан пугающе негативную окраску западной культуре могло означать человека дней плохое настроение облегчить душу пережил какоелибо потрясение например утрату близкого человека легче перенести потрясение чувствуя поддержку психолога болит душа валится рук тяжело выйти подавленного состояния потерян смысл жизни многих западе принято обращаться психологуконсультанту давайте рассмотрим мифов сложившихся нашем сознании поводу психологической помощи идти психологу излить душу другу думают многие друг выслушает поддержит повезло назвали настоящим другом другу трудно объективным друзья психолог нейтрален отношению легко смотреть ситуацию стороны вовторых профессионал обладает широким кругозором области человеческого поведения научными практическими знаниями закономерностях возникновения проявления формах протекания проблемных ситуаций возможных способах коррекции позволяет понять вашу ситуацию наметить пути выхода проблемы психология позволяет одному человеку видеть другого насквозь приятно необходимо многих вещах данной культуре наложено табу психология реально существующих явлениях фактах человеческой психики психолога тяжело разочаровать удивить какимилибо подавляемыми данной культуре сообществе проявлениями человеческой души психолог представляет сложность человеческого существа понимает судить море ориентируясь происходит поверхности подводный мир многое рассказать жизни моря глубина постоянный предмет профессиональной деятельности психолога психологи используют знания точного познания законов человеческого бытия вовсе разоблачения какихто тщательно замаскированных черт психологи ассоциируются магами колдунами ждете вашу ктото изменить вашего участия путем заключения договора некими могущественными силами ошибаетесь измени увидишь изменился мир задача психолога помочь построить поновому строить психолог показать идти идти придется мифы психологии психологахустановка пришел сделайте срабатывает результате психотерапевтического процесса происходить непосредственные изменения уровне психической реальности клиента меняется субъективное восприятие событий внешнего мир физическое событийное содержание изменения внешней реальности человека включенного психотерапевтический процесс опосредованный результат изменений происходящих внутреннем психическом плане бытия упрощенном виде выглядит причинная связь стимул реакция меняется субъективное восприятие людей событий меняется отношение ним меняется поведение человека меняется реакция окружающих поведение оккультизм многообразных проявлениях указанные условиясамоограничения отрицает колдуны экстрасенсы правило наоборот делают практике акцент судьбу человека изменить либо либо действующие посредство некие высшие силы причем согласие человека изменение вовсе обязательно главной задачей психотерапевта является максимальное расширение свободы выбора человека возможности руководствоваться жизни дарованной бога свободой воли задача оккультиста прямо противоположна максимально ограничить свободу воли человека возможности вовсе лишить таковой самым получают возможность манипулировать людьми целях любого зомбирования вне зависимости какими конкретно средствами проводится психология нечто абстрактное непонятное искусственно созданное занимающееся известно вероятно думают готовые ответы любые жизненные вопросы ясно известно отсутствия знаний любой образованный знает изучая какуюлибо науку какуюлибо сферу жизни познавая закономерности убеждаемся сложно думаем намного сложнее понять мир людей пытаясь втиснуть индивидуальный неповторимый динамичный мир каждого человека схему мировоззрения мудрый сократ знаю знаю лукавил камю както мыслящий занимается старается сообразовать представление вещах новыми фактами опровергают этомто сдвиге этойто изменчивости мыслей сознательной поправке заключается истина урок преподаваемый жизнью некоторых людей пугает приставка пси слове психология представление науке сознании тесно переплетено словами псих психушка психиатрия мнение психология имеет дело психическими отклонениями цель обнаружить таковые обращается помощью живуче переводе греческого психе означает душа психология наука душе существует самопознания разобравшись душе понять сложность своеобразие уникальность людей принять,"В современном мире психология стала одной из самых экзотичных профессий в нашей стране. Наибольшее количество исследований в этой области направлено на изучение психики и психического здоровья людей, в том числе и детей."
Детский практический психолог – начало пути,"
Практическая психологическая работа с детьми – творческий, интересный профессиональный путь. Однако в начале становления профессионала не редко возникает много трудностей, осложняющих работу и отбивающих вкус к качественной психологии. Рассмотрим некоторые из противоречий, с которыми сталкивается новичок.
Противоречия начинаются на уровне подчинения, которое у психологов системы образования носит двойной характер. Это подчинение администрации образовательного учреждения, которая не всегда разбирается в тонкостях психологической работы и, как правило, не имеет психологического образования, которое позволило бы адекватно понимать содержание психологической работы. Вторая линия подчинения – методический центр, специалисты которого - редкие гости в образовательных учреждениях. Задача начинающего психолога не только четко разъяснить педагогическому коллективу свои возможности и обязанности, но и проложить мостики сотрудничества, взаимодействия, цель которого – развитие детей. Одновременно начинающему психологу стоит заручиться поддержкой (методической, профессиональной, эмоциональной) психологов–коллег, которая поможет успешно пройти этап первичной адаптации.
Сложности адаптации в профессиональной группе связаны с особой позицией, которую занимает психолог. С одной стороны, психолог член коллектива, но с другой стороны – он стоит особняком, защищая интересы ребенка и реализуя отношение принятия, поддержки, безоценочности к детям и подросткам, тогда как позиция педагогов – оценочная, сравнительная и критериальная. Уважительная позиция по отношению к знаниям педагогов-профессионалов, к их мастерству опыту и тем задачам, которые они решают (воспитывать или учить детей психолог не будет!) – основа формирования уважения и к самому психологу.
Соблюдение принципа конфиденциальности также нередко вызывает сложности, потому что члены педагогического коллектива ждут от психолога интересных историй и «горячих» фактов, квалифицирующих психику ребенка или его внутрисемейные отношения. Ценностное отношение к личности детей и взрослых, в том числе педагогов чуть позже отзовется доверием со стороны коллег и запросом на психологическую помощь профессионала, которому можно вверять свои сложные душевные переживания и обстоятельства жизни, без риска обсуждения или осуждения.
Еще одно противоречие профессиональной деятельности психолога связано с формой предоставления психологической информации. Существует объективная реальность психической жизни ребенка, но отражаться эта реальность должна совершенно по-разному в зависимости от получателя информации, его образования, статуса, эмоционального состояния и других характеристик. Одно дело предоставить психологическую информацию авторитарному директору школы и совершенно другое – взволнованному, эмоционально неуравновешенному родителю. Одна и та же психологическая информация, скажем, о способах воспитательного воздействия на гиперактивного ребенка, предстает по-разному для папы – интеллектуала с тремя высшими образованиями или бабушки из деревни, ставшей единственным кормильцем такого ребенка. От психолога требуется настроенность на собеседника, понимание его интеллектуального и эмоционального статуса и предоставление психологической информации в такой форме, чтобы она была максимально точно, без искажений воспринята собеседником. В противном случае психологическое консультирование скорее навредит ребенку, чем станет опорой для его поступательного развития.
При этом психологическая информация не должна превращаться ни в набор замысловатых терминов (а их у психологов немало), ни в жидкую перетертую кашку, которая не содержит в себе развивающего потенциала (а на взрослого также необходимо влиять: его развития неотделимо от развития ребенка). Консультирование должно ориентировать участников на эффективные решения и предлагать направления поиска выходов из сложной ситуации, а не превращаться в констатацию наличных трудностей и называние их профессиональными терминами.
Помимо этого перед практическим психологом встает задача регуляции собственной эмоциональной загруженности, проблема эмоционального выгорания, требующая использования навыков саморегуляции, профессиональной эмпатийности, восстановления эмоционального равновесия. Овладение приемами ауторелаксации, мышечного расслабления и установления защитных барьеров окажутся хорошим подспорьем.
Начинающему психологу важно уметь противостоять различного рода манипуляциям, с которыми он может встретиться при взаимодействии с родителями детей или с администрацией образовательного учреждения. Родители могут стремиться переложить на психолога ответственность за ребенка или направлять психолога в позицию врача, дающего конкретное лекарство от конкретной проблемы. Задача психолога вернуть ответственность родителям, но вместе с ними обсудить как причины сложившейся ситуации (влияние окружения, особенности личности самого ребенка, особенности личности родителя и т.д.), так и пути ее преодоления (что должно измениться в семейной структуре, какие ресурсы есть у родителя, на какие сильные стороны личности ребенка можно опираться, какие задачи развития стоят перед диадой ребенок – родитель).
Важно отметить и отношение начинающих психологов к психологическим методикам. Многие психологи часто сосредоточивают свою профессиональную деятельность на диагностике, используя огромное количество методик и тестовых программ. Однако достаточно быстро становится очевидной ограниченность данных, получаемых с помощью методик и психолог вынужден обратиться к теоретическим, интерпретационным моделям и объяснительным закономерностям, отвечая себе и родителям на вопросы почему? и что делать? в сложившейся ситуации. Эти вопросы упираются в фундаментальный вопрос о том, какой теоретической позиции, какой объяснительной модели развития психики придерживается практический психолог. Избежать этого вопроса, осуществляя качественную профессиональную деятельность нельзя. И психолог, который только недавно, по окончании учебы, с удовольствием забросил все монографии и труды маститых ученых начинает вновь заглядывать в учебники.
Перечисленные противоречия – лишь первые сложности, с которыми сталкивается психолог, однако уже они открывают замечательные возможности для творчества, личностного роста и самоактуализации, в которых так нуждаются и психологи. Психологи – тоже люди.
",практическая психологическая работа детьми творческий интересный профессиональный путь начале становления профессионала редко возникает трудностей осложняющих работу отбивающих вкус качественной психологии рассмотрим некоторые противоречий которыми сталкивается новичок противоречия начинаются уровне подчинения которое психологов системы образования носит двойной характер подчинение администрации образовательного учреждения разбирается тонкостях психологической работы правило имеет психологического образования которое позволило адекватно понимать содержание психологической работы вторая линия подчинения методический центр специалисты редкие гости образовательных учреждениях задача начинающего психолога четко разъяснить педагогическому коллективу возможности обязанности проложить мостики сотрудничества взаимодействия цель развитие детей одновременно начинающему психологу стоит заручиться поддержкой методической профессиональной эмоциональной психологовколлег поможет успешно пройти этап первичной адаптации сложности адаптации профессиональной группе связаны особой позицией которую занимает психолог стороны психолог член коллектива стороны стоит особняком защищая интересы ребенка реализуя отношение принятия поддержки безоценочности детям подросткам позиция педагогов оценочная сравнительная критериальная уважительная позиция отношению знаниям педагоговпрофессионалов мастерству опыту задачам решают воспитывать учить детей психолог основа формирования уважения психологу соблюдение принципа конфиденциальности вызывает сложности члены педагогического коллектива ждут психолога интересных историй горячих фактов квалифицирующих психику ребенка внутрисемейные отношения ценностное отношение личности детей взрослых числе педагогов отзовется доверием стороны коллег запросом психологическую помощь профессионала которому вверять сложные душевные переживания обстоятельства жизни риска обсуждения осуждения одно противоречие профессиональной деятельности психолога связано формой предоставления психологической информации существует объективная реальность психической жизни ребенка отражаться реальность должна совершенно поразному зависимости получателя информации образования статуса эмоционального состояния характеристик одно дело предоставить психологическую информацию авторитарному директору школы совершенно взволнованному эмоционально неуравновешенному родителю одна психологическая информация скажем способах воспитательного воздействия гиперактивного ребенка предстает поразному папы интеллектуала тремя высшими образованиями бабушки деревни ставшей единственным кормильцем такого ребенка психолога требуется настроенность собеседника понимание интеллектуального эмоционального статуса предоставление психологической информации форме максимально точно искажений воспринята собеседником противном случае психологическое консультирование скорее навредит ребенку станет опорой поступательного развития психологическая информация должна превращаться набор замысловатых терминов психологов немало жидкую перетертую кашку содержит развивающего потенциала взрослого необходимо влиять развития неотделимо развития ребенка консультирование ориентировать участников эффективные решения предлагать направления поиска выходов сложной ситуации превращаться констатацию наличных трудностей называние профессиональными терминами помимо практическим психологом встает задача регуляции собственной эмоциональной загруженности проблема эмоционального выгорания требующая использования навыков саморегуляции профессиональной эмпатийности восстановления эмоционального равновесия овладение приемами ауторелаксации мышечного расслабления установления защитных барьеров окажутся хорошим подспорьем начинающему психологу важно противостоять различного рода манипуляциям которыми встретиться взаимодействии родителями детей администрацией образовательного учреждения родители стремиться переложить психолога ответственность ребенка направлять психолога позицию врача дающего конкретное лекарство конкретной проблемы задача психолога вернуть ответственность родителям вместе обсудить причины сложившейся ситуации влияние окружения особенности личности ребенка особенности личности родителя тд пути преодоления измениться семейной структуре какие ресурсы родителя какие сильные стороны личности ребенка опираться какие задачи развития стоят диадой ребенок родитель важно отметить отношение начинающих психологов психологическим методикам многие психологи сосредоточивают профессиональную деятельность диагностике используя огромное количество методик тестовых программ достаточно быстро становится очевидной ограниченность данных получаемых помощью методик психолог вынужден обратиться теоретическим интерпретационным моделям объяснительным закономерностям отвечая родителям вопросы делать сложившейся ситуации вопросы упираются фундаментальный вопрос теоретической позиции объяснительной модели развития психики придерживается практический психолог избежать вопроса осуществляя качественную профессиональную деятельность психолог окончании учебы удовольствием забросил монографии труды маститых ученых начинает вновь заглядывать учебники перечисленные противоречия первые сложности которыми сталкивается психолог открывают замечательные возможности творчества личностного роста самоактуализации нуждаются психологи психологи,"В начале становления психолога можно столкнуться с многочисленными противоречиями и трудностями, которые могут затруднить успешное психологическое консультирование."
Стервы… за что их любят?,"
В современном словоупотреблении под стервой подразумевается нечто совершенно особенное. Обычно это молодые женщины, доставляющие множество неприятностей мужчинам, за что последние таких женщин между собой и называют: ""У-у, стерва!"". Остается непонятным только одно презабавнейшее обстоятельство: эти же мужчины, как правило, намертво привязываются к данной категории женщин, и даже уходят к ним от своих милейших жен, оставляя последних в полном недоумении относительно причин такого внешне иррационального поступка: ""И на эту стерву он МЕНЯ променял?!!"" Как правило, этот вопрос остается без ответа, как это часто и бывает в гуманитарной сфере: ""Ну что ОН в этой сфере ТАКОГО (особенного) нашел?"" А между тем не только ""нашел"", но и именно за ""ЭТИМ"" то и ушел! Так что же ""ЭТО"" такое (особенное)?
Чтобы ответить на этот вопрос, нам надо будет спуститься чуть ниже того, что мы привыкли называть психикой, в области законов ФИЗИОЛОГИИ. Суть в том, что сексуальная активность мужчины очень сильно зависит от уровня активности так называемой симпатоадреналовой системы, которая отвечает также и за нашу бодрость, работоспособность, тонус мышц, быстроту мышления (то, что мы называем остроумием) и за многое другое, столь же достойное внимания. Именно поэтому женщины инстинктивно выбирают не столько симпатичных, сколько, так сказать, ""симпатических"" мужчин, которые со своей стороны всячески демонстрируют перед женщинами высокий уровень активности именно этого отдела вегетативной нервной системы - хвастаются силой рук (демонстрация тонуса скелетных мышц), своими неограниченными возможностями (""у меня там все схвачено""), состязаются в остроумии и т.д. Женщины закономерно ожидают от таких мужчин хорошей сексуальной потенции и, что самое интересное, довольно редко ошибаются.
Стервозное поведение женщины встречается так часто, а объясняется так мало, что многие воспринимают ее как некую природную данность.
Примерно в том смысле, что ""все женщины - стервы"", точно так же как ""все мужчины - сволочи"".
А между тем согласно ""Словарю живого великорусского языка"" В.И. Даля ""СТЕРВА"" есть не что иное, как ""труп околевшего животного,… мертвечина …"" (Отсюда ""Стервятник, большой черный орел, питающийся падалью"").
Все это было бы хорошо, и даже могло бы быть замечательно, но на смену активности симпатики, всегда приходит ее физиологическая противоположность - возрастает тонус парасимпатической нервной системы, отвечающий за успокоение, сон, восстановление, пищеварение, выделение, эякуляцию, но не за эрекцию (=потенцию). Именно поэтому так разнится поведение мужчины ДО свадьбы и ПОСЛЕ нее, примерно также как ДО эякуляции (симпатика) и сразу ПОСЛЕ нее (парасимпатика). Все это может показаться ""грубым физиологизмом"" (прежде всего для тех, кто не знает физиологии), но в том-то и дело, что наше (физическое) тело подчиняется ОБЪЕКТИВНЫМ законам физиологии, независимо от того, знаем мы хоть что-нибудь об этих законах или нет. А согласно этим законам сексуально-ориентированная деятельность мужчины всегда начинается с напористой активности (симпатика), а заканчивает опустошенным расслаблением (парасимпатика). У женщин, наоборот, половое влечение пробуждается только на фоне покоя и расслабления (парасимпатический тонус), а завершается сильнейшим включением симпатики - оргиастической разрядкой. Отсюда возникли разного рода философские, религиозные, а местами и законодательные концепции об активной роли мужчины, ""космического творца"", ЯН, солнечном начале, стихии огня, и, соответственно, о пассивной роли женщины, ее ""космической уступчивости"", ИНЬ, стихии воды и прочих якобы обязательных атрибутах женственности. Как это часто бывает, идеальные концепции хороши ровно до тех пор, пока их не пытаются реализовать в действительности.
В этом и состоит наиболее распространенное заблуждение женщин, что это именно они ДОЛЖНЫ обеспечивать себе собственное расслабление (выполняя свою ""космическую роль"", там ИНЬ и прочий ""хочешь фэн, а хочешь шуй"", к реальной традиции ""ветра и потока"" (фэншуй) не имеющий ни малейшего отношения), тогда как это как раз прямая обязанность мужчины! Именно поэтому женщины инстинктивно ищут того мужчину, рядом с которым они будут ощущать себя в покое и безопасности (""я с тобой, как за каменной стеной""), необходимые для пробуждения у нее сексуального влечения (парасимпатический тонус).
Таким образом, женщина вовсе не обязана вести себя в соответствии со своей ""космической ролью"" сосуда для воды и все такое прочее, и вполне может позволить себе ИНОЕ поведение.Остается выяснить, а для чего, собственно, она ТАК себя ведет…как отъявленная СТЕРВА? Да потому что мужчины в ее присутствии находятся в постоянном симпатическом тонусе, а значит, с большей вероятностью будут иметь откровенное половое возбуждение, которое естественным образом будет перенесено… на стерву. Ради чего, собственно, все и затевалось!
Именно поэтому в народе говорят, ""милые бранятся - только тешатся"". Именно поэтому мужчины, особенно с недостаточной активностью симпатики, то есть подавляющее большинство сильной половины человечества, так намертво привязываются к этим стервам, которые фактически ВЫНУЖДЕНЫ так себя вести.
Скажу вам более того, если женщина не стерва, с ней что-то не в порядке, поскольку ее поведение идет в противоречие с очень важным БИОЛОГИЧЕСКИМ инстинктом - необходимостью выбора наилучшего носителя генов для ее потомства. В дикой природе это проверяется общеизвестными брачными поединками самцов, причем инициаторов таких единоборств всегда выступает самка, которая в итоге и достается победителю. Вот вам и чисто биологическое объяснение типично стервозного поведение многих женщин, провоцирующих своих поклонников на откровенные (драка в кабаке) или ритуальные (конкурс анекдотов) поединки.
Так что не будем обижаться на стерву, ее и так несправедливо обозвали - никакая она не ""мертвечина"", а очень даже живая женщина…
Автор:
					Минвалеев Ринад Султанович

",современном словоупотреблении стервой подразумевается нечто совершенно особенное молодые женщины доставляющие множество неприятностей мужчинам последние таких женщин называют уу стерва остается непонятным одно презабавнейшее обстоятельство мужчины правило намертво привязываются данной категории женщин уходят ним милейших жен оставляя последних полном недоумении относительно причин такого внешне иррационального поступка стерву променял правило вопрос остается ответа гуманитарной сфере сфере такого особенного нашел нашел ушел особенное ответить вопрос спуститься привыкли называть психикой области законов физиологии сексуальная активность мужчины сильно зависит уровня активности называемой симпатоадреналовой системы отвечает нашу бодрость работоспособность тонус мышц быстроту мышления называем остроумием многое столь достойное внимания поэтому женщины инстинктивно выбирают столько симпатичных симпатических мужчин стороны всячески демонстрируют женщинами высокий уровень активности отдела вегетативной нервной системы хвастаются силой рук демонстрация тонуса скелетных мышц своими неограниченными возможностями схвачено состязаются остроумии тд женщины закономерно ожидают таких мужчин хорошей сексуальной потенции самое интересное редко ошибаются стервозное поведение женщины встречается объясняется многие воспринимают некую природную данность примерно смысле женщины стервы точно мужчины сволочи согласно словарю живого великорусского языка ви даля стерва иное труп околевшего животного мертвечина стервятник большой черный орел питающийся падалью могло замечательно смену активности симпатики приходит физиологическая противоположность возрастает тонус парасимпатической нервной системы отвечающий успокоение сон восстановление пищеварение выделение эякуляцию эрекцию потенцию поэтому разнится поведение мужчины свадьбы примерно эякуляции симпатика сразу парасимпатика показаться грубым физиологизмом прежде знает физиологии томто дело физическое тело подчиняется объективным законам физиологии независимо знаем чтонибудь законах согласно законам сексуальноориентированная деятельность мужчины начинается напористой активности симпатика заканчивает опустошенным расслаблением парасимпатика женщин наоборот половое влечение пробуждается фоне покоя расслабления парасимпатический тонус завершается сильнейшим включением симпатики оргиастической разрядкой возникли разного рода философские религиозные местами законодательные концепции активной роли мужчины космического творца ян солнечном начале стихии огня соответственно пассивной роли женщины космической уступчивости инь стихии воды прочих якобы обязательных атрибутах женственности идеальные концепции хороши ровно пытаются реализовать действительности состоит распространенное заблуждение женщин должны обеспечивать собственное расслабление выполняя космическую роль инь прочий фэн шуй реальной традиции ветра потока фэншуй имеющий малейшего отношения прямая обязанность мужчины поэтому женщины инстинктивно ищут мужчину которым ощущать покое безопасности каменной стеной необходимые пробуждения сексуального влечения парасимпатический тонус таким образом женщина вовсе обязана вести соответствии космической ролью сосуда воды прочее вполне позволить иное поведениеостается выяснить собственно ведеткак отъявленная стерва мужчины присутствии находятся постоянном симпатическом тонусе большей вероятностью откровенное половое возбуждение которое естественным образом перенесено стерву ради собственно затевалось поэтому народе говорят милые бранятся тешатся поэтому мужчины недостаточной активностью симпатики подавляющее большинство сильной половины человечества намертво привязываются стервам фактически вынуждены вести скажу женщина стерва чтото порядке поскольку поведение идет противоречие важным биологическим инстинктом необходимостью выбора наилучшего носителя генов потомства дикой природе проверяется общеизвестными брачными поединками самцов причем инициаторов таких единоборств выступает самка итоге достается победителю чисто биологическое объяснение типично стервозного поведение многих женщин провоцирующих поклонников откровенные драка кабаке ритуальные конкурс анекдотов поединки обижаться стерву несправедливо обозвали никакая мертвечина живая женщина автор минвалеев ринад султанович,"В современном мире стервы — это не только космическая сущность, но и неотъемлемая часть человеческой психики и физиологии."
